Note Extraction from 1674.mid
----------------------------------------

--- Track 0:  ---

--- Track 1: FLUTE ---
Time: 213504, Note: 81, Velocity: 91
Time: 213696, Note: 86, Velocity: 91
Time: 213696, Note: 86, Velocity: 91
Time: 213888, Note: 86, Velocity: 91
Time: 213888, Note: 86, Velocity: 91
Time: 214080, Note: 84, Velocity: 91
Time: 214080, Note: 84, Velocity: 91
Time: 214272, Note: 82, Velocity: 91
Time: 214272, Note: 82, Velocity: 91
Time: 215040, Note: 81, Velocity: 91
Time: 215040, Note: 81, Velocity: 91
Time: 215808, Note: 82, Velocity: 91
Time: 215808, Note: 82, Velocity: 91
Time: 216768, Note: 79, Velocity: 91
Time: 216768, Note: 79, Velocity: 91
Time: 216960, Note: 81, Velocity: 91
Time: 216960, Note: 81, Velocity: 91
Time: 217152, Note: 82, Velocity: 91
Time: 217152, Note: 82, Velocity: 91
Time: 217344, Note: 84, Velocity: 91
Time: 217344, Note: 84, Velocity: 91
Time: 218304, Note: 78, Velocity: 91
Time: 218304, Note: 78, Velocity: 91
Time: 218496, Note: 81, Velocity: 91
Time: 218496, Note: 81, Velocity: 91
Time: 218688, Note: 82, Velocity: 91
Time: 218688, Note: 82, Velocity: 91
Time: 218880, Note: 84, Velocity: 91
Time: 218880, Note: 84, Velocity: 91
Time: 219840, Note: 81, Velocity: 91
Time: 219840, Note: 81, Velocity: 91
Time: 220032, Note: 82, Velocity: 91
Time: 220032, Note: 82, Velocity: 91
Time: 220224, Note: 84, Velocity: 91
Time: 220224, Note: 84, Velocity: 91
Time: 220416, Note: 86, Velocity: 91
Time: 220416, Note: 86, Velocity: 91
Time: 221376, Note: 79, Velocity: 91
Time: 221376, Note: 79, Velocity: 91
Time: 221568, Note: 82, Velocity: 91
Time: 221568, Note: 82, Velocity: 91
Time: 221760, Note: 84, Velocity: 91
Time: 221760, Note: 84, Velocity: 91
Time: 221952, Note: 86, Velocity: 91
Time: 221952, Note: 86, Velocity: 91
Time: 222912, Note: 82, Velocity: 91
Time: 222912, Note: 82, Velocity: 91
Time: 223104, Note: 84, Velocity: 101
Time: 223104, Note: 84, Velocity: 101
Time: 223296, Note: 86, Velocity: 109
Time: 223296, Note: 86, Velocity: 109
Time: 223488, Note: 81, Velocity: 115
Time: 223488, Note: 87, Velocity: 115
Time: 225024, Note: 81, Velocity: 115
Time: 225024, Note: 87, Velocity: 115
Time: 225984, Note: 79, Velocity: 115
